iter	Passed	Remaining
0	236	47118
1	338	33500
2	436	28675
3	537	26342
4	632	24650
5	735	23774
6	827	22817
7	922	22132
8	1018	21624
9	1112	21128
10	1206	20733
11	1299	20352
12	1392	20027
13	1485	19733
14	1580	19494
15	1690	19438
16	1785	19216
17	1873	18942
18	1962	18695
19	2062	18561
20	2160	18417
21	2251	18214
22	2347	18068
23	2446	17939
24	2537	17765
25	2636	17645
26	2727	17477
27	2819	17319
28	2915	17189
29	3012	17072
30	3131	17073
31	3290	17272
32	3445	17435
33	3554	17353
34	3678	17340
35	3783	17233
36	3888	17128
37	3985	16990
38	4090	16886
39	4189	16759
40	4292	16646
41	4397	16544
42	4505	16451
43	4603	16323
44	4705	16206
45	4804	16083
46	4910	15985
47	4998	15828
48	5090	15688
49	5186	15560
50	5279	15423
51	5383	15322
52	5485	15213
53	5600	15142
54	5695	15014
55	5792	14893
56	5904	14814
57	6006	14705
58	6098	14573
59	6187	14438
60	6267	14282
61	6343	14119
62	6426	13974
63	6500	13813
64	6579	13665
65	6656	13515
66	6731	13362
67	6806	13211
68	6883	13068
69	6958	12923
70	7034	12780
71	7113	12645
72	7197	12521
73	7279	12394
74	7361	12268
75	7444	12145
76	7526	12023
77	7605	11895
78	7689	11777
79	7770	11655
80	7844	11524
81	7931	11413
82	8004	11283
83	8081	11160
84	8161	11041
85	8238	10920
86	8321	10808
87	8400	10691
88	8485	10583
89	8564	10468
90	8648	10358
91	8735	10254
92	8817	10144
93	8893	10028
94	8975	9920
95	9056	9811
96	9132	9696
97	9207	9582
98	9285	9473
99	9362	9362
100	9450	9263
101	9531	9158
102	9611	9052
103	9694	8949
104	9781	8849
105	9859	8743
106	9939	8638
107	10017	8533
108	10094	8427
109	10171	8321
110	10251	8219
111	10323	8110
112	10400	8007
113	10489	7913
114	10577	7818
115	10658	7718
116	10749	7625
117	10832	7527
118	10913	7428
119	10990	7326
120	11068	7226
121	11142	7123
122	11217	7022
123	11296	6923
124	11372	6823
125	11447	6723
126	11520	6622
127	11603	6526
128	11688	6433
129	11767	6336
130	11845	6239
131	11925	6143
132	12003	6046
133	12083	5951
134	12160	5854
135	12237	5758
136	12316	5663
137	12397	5569
138	12475	5474
139	12562	5384
140	12642	5290
141	12721	5195
142	12798	5101
143	12876	5007
144	12952	4913
145	13032	4820
146	13111	4727
147	13186	4633
148	13263	4539
149	13340	4446
150	13419	4354
151	13507	4265
152	13585	4173
153	13671	4083
154	13751	3992
155	13837	3902
156	13908	3809
157	13995	3720
158	14076	3629
159	14155	3538
160	14237	3448
161	14321	3359
162	14400	3268
163	14485	3179
164	14566	3089
165	14647	3000
166	14733	2911
167	14813	2821
168	14896	2732
169	14976	2642
170	15056	2553
171	15137	2464
172	15221	2375
173	15305	2286
174	15386	2198
175	15467	2109
176	15552	2020
177	15633	1932
178	15730	1845
179	15815	1757
180	15894	1668
181	15972	1579
182	16054	1491
183	16137	1403
184	16221	1315
185	16301	1226
186	16382	1138
187	16462	1050
188	16541	962
189	16623	874
190	16706	787
191	16786	699
192	16865	611
193	16944	524
194	17026	436
195	17108	349
196	17192	261
197	17271	174
198	17358	87
199	17439	0
